sim/none/none                                      Do nothing at all!
sim/fuel/fuel_crossfeed_from_lft_tank              Cross-feed fuel from left tank.
sim/fuel/fuel_crossfeed_off                        Cross-feed fuel off.
sim/fuel/fuel_crossfeed_from_rgt_tank              Cross-feed fuel from right tank.
sim/fuel/fuel_firewall_valve_lft_open              Firewall fuel valve left open.
sim/fuel/fuel_firewall_valve_lft_closed            Firewall fuel valve left closed.
sim/fuel/fuel_firewall_valve_rgt_open              Firewall fuel valve right open.
sim/fuel/fuel_firewall_valve_rgt_closed            Firewall fuel valve right closed.
sim/fuel/fuel_pumps_on                             Fuel pumps on.
sim/fuel/fuel_pumps_off                            Fuel pumps off.
sim/fuel/fuel_pumps_tog                            Fuel pumps toggle.
sim/fuel/fuel_pump_1_on                            Fuel pump for engine #1 on.
sim/fuel/fuel_pump_2_on                            Fuel pump for engine #2 on.
sim/fuel/fuel_pump_3_on                            Fuel pump for engine #3 on.
sim/fuel/fuel_pump_4_on                            Fuel pump for engine #4 on.
sim/fuel/fuel_pump_5_on                            Fuel pump for engine #5 on.
sim/fuel/fuel_pump_6_on                            Fuel pump for engine #6 on.
sim/fuel/fuel_pump_7_on                            Fuel pump for engine #7 on.
sim/fuel/fuel_pump_8_on                            Fuel pump for engine #8 on.
sim/fuel/fuel_pump_1_off                           Fuel pump for engine #1 off.
sim/fuel/fuel_pump_2_off                           Fuel pump for engine #2 off.
sim/fuel/fuel_pump_3_off                           Fuel pump for engine #3 off.
sim/fuel/fuel_pump_4_off                           Fuel pump for engine #4 off.
sim/fuel/fuel_pump_5_off                           Fuel pump for engine #5 off.
sim/fuel/fuel_pump_6_off                           Fuel pump for engine #6 off.
sim/fuel/fuel_pump_7_off                           Fuel pump for engine #7 off.
sim/fuel/fuel_pump_8_off                           Fuel pump for engine #8 off.
sim/fuel/fuel_pump_1_tog                           Fuel pump for engine #1 toggle.
sim/fuel/fuel_pump_2_tog                           Fuel pump for engine #2 toggle.
sim/fuel/fuel_pump_3_tog                           Fuel pump for engine #3 toggle.
sim/fuel/fuel_pump_4_tog                           Fuel pump for engine #4 toggle.
sim/fuel/fuel_pump_5_tog                           Fuel pump for engine #5 toggle.
sim/fuel/fuel_pump_6_tog                           Fuel pump for engine #6 toggle.
sim/fuel/fuel_pump_7_tog                           Fuel pump for engine #7 toggle.
sim/fuel/fuel_pump_8_tog                           Fuel pump for engine #8 toggle.
sim/fuel/fuel_pump_1_prime                         Fuel pump PRIME for engine #1 on.
sim/fuel/fuel_pump_2_prime                         Fuel pump PRIME for engine #2 on.
sim/fuel/fuel_pump_3_prime                         Fuel pump PRIME for engine #3 on.
sim/fuel/fuel_pump_4_prime                         Fuel pump PRIME for engine #4 on.
sim/fuel/fuel_pump_5_prime                         Fuel pump PRIME for engine #5 on.
